"key","en","de","fr","ar","es","it"
"Failed to upload request photos.","Failed to upload request photos.","Das Hochladen der angeforderten Fotos ist fehlgeschlagen.","Échec du chargement des photos demandées.","فشل تحميل الصور المطلوبة.","No se pudieron subir las fotos solicitadas.","Caricamento delle foto della richiesta non riuscito."
"Feedback","Feedback","Rückmeldung","Retour","تعليق","Comentario","Feedback"
"Field 18, for example 671.912.676","Field 18, for example 671.912.676","Feld 18, zum Beispiel 671.912.676","Champ 18, par exemple 671.912.676","الحقل 18، مثال 671.912.676","Campo 18, por ejemplo 671.912.676","Campo 18, ad esempio 671.912.676"
"File-based routing","File-based routing","Dateibasiertes Routing","Routage basé sur des fichiers","التوجيه القائم على الملف","Enrutamiento basado en archivos","Routing basato sui file"
"Final Review","Final Review","Abschließende Bewertung","Révision finale","المراجعة النهائية","Revisión final","Revisione finale"
"Final delivery is confirmed. You can now rate the driver.","Final delivery is confirmed. You can now rate the driver.","Die Zustellung ist abgeschlossen. Sie können den Fahrer jetzt bewerten.","La livraison est confirmée. Vous pouvez maintenant évaluer le chauffeur.","تم تأكيد التسليم النهائي. يمكنك الآن تقييم السائق.","Se confirma la entrega final. Ahora puede calificar al conductor.","La consegna finale è stata confermata. Ora puoi valutare l'autista."
"Final delivery is confirmed. You can rate the driver from here if you skipped the prompt.","Final delivery is confirmed. You can rate the driver from here if you skipped the prompt.","Die Zustellung ist bestätigt. Falls Sie die entsprechende Aufforderung übersprungen haben, können Sie den Fahrer hier bewerten.","La livraison est confirmée. Vous pouvez évaluer le chauffeur ici si vous avez ignoré l'invite.","تم تأكيد التسليم النهائي. يمكنك تقييم السائق من هنا إذا تخطيت هذه الخطوة.","Se confirma la entrega final. Si omitió la solicitud, puede calificar al conductor desde aquí.","La consegna finale è stata confermata. Puoi valutare l'autista da qui se hai saltato la richiesta precedente."
"Find this 9-digit number in field 18 of the Swiss registration document.","Find this 9-digit number in field 18 of the Swiss registration document.","Diese 9-stellige Nummer finden Sie in Feld 18 des Schweizer Fahrzeugausweises.","Ce numéro à 9 chiffres se trouve au champ 18 du permis de circulation suisse.","ستجد هذا الرقم المكون من 9 أرقام في الحقل 18 من وثيقة تسجيل المركبة السويسرية.","Este número de 9 dígitos se encuentra en el campo 18 del permiso de circulación suizo.","Questo numero di 9 cifre si trova nel campo 18 della licenza di circolazione svizzera."
"For static images, you can use the","For static images, you can use the","Für statische Bilder können Sie die verwenden","Pour les images statiques, vous pouvez utiliser le","بالنسبة للصور الثابتة، يمكنك استخدام","Para imágenes estáticas, puede utilizar el","Per le immagini statiche puoi utilizzare i"
"Fragile","Fragile","Zerbrechlich","Fragile","قابل للكسر","Frágil","Fragile"
"Fragile goods","Fragile goods","Zerbrechliche Güter","Marchandises fragiles","بضائع قابلة للكسر","Artículos frágiles","Merce fragile"
"Fragile:","Fragile:","Zerbrechlich:","Fragile:","قابل للكسر:","Frágil:","Fragile:"
"French","French","Französisch","Français","فرنسي","Francés","Francese"
"Full name","Full name","Vollständiger Name","Nom complet","الاسم الكامل","Nombre completo","Nome completo"
"Funds are added to your app wallet after Stripe confirms the payment.","Funds are added to your app wallet after Stripe confirms the payment.","Das Guthaben wird Ihrem App-Wallet gutgeschrieben, nachdem Stripe die Zahlung bestätigt hat.","Les fonds sont ajoutés à votre portefeuille d'application une fois que Stripe a confirmé le paiement.","تُضاف الأموال إلى محفظة التطبيق الخاصة بك بعد أن يؤكد Stripe عملية الدفع.","Los fondos se añadirán a tu monedero de la aplicación una vez que Stripe confirme el pago.","I fondi vengono aggiunti al portafoglio dell'app dopo la conferma del pagamento da parte di Stripe."
"Furniture","Furniture","Möbel","Meubles","أثاث","Muebles","Mobili"
"Furniture Description","Furniture Description","Möbelbeschreibung","Description du mobilier","وصف الأثاث","Descripción de los muebles","Descrizione dei mobili"
"Furniture Details","Furniture Details","Möbeldetails","Détails du mobilier","تفاصيل الأثاث","Detalles del mobiliario","Dettagli dei mobili"
"Furniture Information","Furniture Information","Möbelinformationen","Informations sur le mobilier","معلومات عن الأثاث","Información sobre muebles","Informazioni sui mobili"
"Furniture Photos","Furniture Photos","Möbelfotos","Photos de meubles","صور أثاث","Fotos de muebles","Foto dei mobili"
"Furniture details are missing. Please go back and complete them first.","Furniture details are missing. Please go back and complete them first.","Die Angaben zu den Möbeln fehlen. Bitte vervollständigen Sie diese zuerst.","Il manque des informations sur le mobilier. Veuillez les compléter.","تفاصيل الأثاث غير مكتملة. يرجى العودة وإكمالها أولاً.","Faltan detalles sobre los muebles. Por favor, vuelva atrás y complételos primero.","Mancano i dettagli dei mobili. Torna indietro e completali."
"Furniture transport","Furniture transport","Möbeltransport","Transport de mobilier","نقل الأثاث","Transporte de muebles","Trasporto mobili"
"GPS accuracy: about {{accuracy}}m","GPS accuracy: about {{accuracy}}m","Genauigkeit von GPS: etwa {{accuracy}}m","Précision de GPS : environ {{accuracy}}m","دقة GPS: حوالي {{accuracy}}m","Precisión de GPS: acerca de {{accuracy}}m","Precisione GPS: circa {{accuracy}} m"
"GPS: {{gps}} • Network: {{network}} • Services: {{services}}","GPS: {{gps}} • Network: {{network}} • Services: {{services}}","GPS: {{gps}} • Netzwerk: {{network}} • Dienste: {{services}}","GPS : {{gps}} • Réseau : {{network}} • Services : {{services}}","GPS: {{gps}} • الشبكة: {{network}} • الخدمات: {{services}}","GPS: {{gps}} • Red: {{network}} • Servicios: {{services}}","GPS: {{gps}} • Rete: {{network}} • Servizi: {{services}}"
"German","German","Deutsch","Allemand","الألمانية","Alemán","Tedesco"
"Get quotes from drivers in minutes","Get quotes from drivers in minutes","Erhalten Sie innerhalb weniger Minuten Angebote von Fahrern","Recevez des devis de chauffeurs en quelques minutes","احصل على عروض أسعار من السائقين خلال دقائق","Recibe presupuestos de conductores en minutos","Ricevi preventivi dagli autisti in pochi minuti"
"Getting your location...","Getting your location...","Ihren Standort ermitteln...","Obtenir votre position...","جارٍ تحديد موقعك...","Obtener tu ubicación...","Rilevamento della posizione..."
"Go Back","Go Back","Geh zurück","Retour","عُد","Volver","Indietro"
"Good afternoon!","Good afternoon!","Guten Tag!","Bon après-midi !","مساء الخير!","¡Buenas tardes!","Buon pomeriggio!"
"Good evening!","Good evening!","Guten Abend!","Bonsoir !","مساء الخير!","¡Buenas noches!","Buonasera!"
"Good morning!","Good morning!","Guten Morgen!","Bonjour !","صباح الخير!","¡Buenos días!","Buongiorno!"
"Goods","Goods","Waren","Marchandises","بضائع","Mercancías","Merci"
"Goods Description","Goods Description","Warenbeschreibung","Description du produit","وصف السلعة","Descripción de los productos","Descrizione della merce"
"Goods Details","Goods Details","Warendetails","Détails des marchandises","تفاصيل البضائع","Detalles de la carga","Dettagli della merce"
"Goods Information","Goods Information","Wareninformationen","Informations sur les produits","معلومات السلع","Información sobre los productos","Informazioni sulla merce"
"Goods details are missing. Please go back and complete them first.","Goods details are missing. Please go back and complete them first.","Die Artikeldetails fehlen. Bitte vervollständigen Sie diese zuerst.","Les informations relatives aux produits sont manquantes. Veuillez les compléter.","تفاصيل البضائع غير مكتملة. يرجى العودة وإكمالها أولاً.","Faltan los detalles de los productos. Por favor, vuelva atrás y complételos primero.","Mancano i dettagli della merce. Torna indietro e completali."
"Goods transport","Goods transport","Warentransport","Transport de marchandises","نقل البضائع","Transporte de mercancías","Trasporto merci"
"Google Maps API key is missing.","Google Maps API key is missing.","Der Google Maps-API-Schlüssel fehlt.","La clé API Google Maps est manquante.","مفتاح Google Maps API مفقود.","Falta la clave API de Google Maps.","La chiave API di Google Maps è mancante."
"Google Pay","Google Pay","Google Pay","Google Pay","Google Pay","Google Pay","Google Pay"
"Google Pay is currently unavailable on this device.","Google Pay is currently unavailable on this device.","Google Pay ist auf diesem Gerät derzeit nicht verfügbar.","Google Pay n'est actuellement pas disponible sur cet appareil.","Google Pay غير متوفر حاليًا على هذا الجهاز.","Google Pay no está disponible actualmente en este dispositivo.","Google Pay non è attualmente disponibile su questo dispositivo."
"Google Pay is only available on Android.","Google Pay is only available on Android.","Google Pay ist nur auf Android verfügbar.","Google Pay est uniquement disponible sur Android.","Google Pay متوفر فقط على Android.","Google Pay solo está disponible en Android.","Google Pay è disponibile solo su Android."
"Google Pay on Android does not use an Apple merchant identifier.","Google Pay on Android does not use an Apple merchant identifier.","Google Pay auf Android verwendet keine Apple-Händlerkennung.","Google Pay sur Android n'utilise pas d'identifiant marchand Apple.","لا يستخدم Google Pay على Android معرف تاجر Apple.","Google Pay en Android no utiliza un identificador de comerciante de Apple.","Google Pay su Android non utilizza un identificatore commerciante Apple."
"Hatchback","Hatchback","Schrägheck","Hayon","هاتشباك","Hatchback","Hatchback"
"Heavy shipment:","Heavy shipment:","Schwere Sendung:","Envoi lourd :","شحنة ثقيلة:","Envío pesado:","Spedizione pesante:"
"Height (cm)","Height (cm)","Höhe (cm)","Hauteur (cm)","الطول (سم)","Altura (cm)","Altezza (cm)"
"Height cm","Height cm","Höhe cm","Hauteur cm","الارتفاع بالسنتيمتر","Altura cm","Altezza (cm)"
"Hello, {{name}}","Hello, {{name}}","Hallo, {{name}}","Bonjour, {{name}}","مرحباً، {{name}}","Hola, {{name}}","Ciao, {{name}}"
"Helpers & Loading","Helpers & Loading","Helfer & Verladung","Aides et chargement","المساعدون والتحميل","Ayudantes y carga","Aiutanti e carico"
"History Requests","History Requests","Anfrageverlauf","Historique des demandes","سجل الطلبات","Historial de solicitudes","Cronologia richieste"
"Home","Home","Start","Accueil","الرئيسية","Inicio","Home"
"Home, office and bulky items.","Home, office and bulky items.","Haushaltsgegenstände, Büroartikel und sperrige Gegenstände.","Articles ménagers, de bureau et objets encombrants.","الأغراض المنزلية والمكتبية والضخمة.","Artículos para el hogar, la oficina y artículos voluminosos.","Oggetti domestici, da ufficio e ingombranti."
"House Moving","House Moving","Haushaltsumzug","Déménagement","نقل المنازل","Mudanzas","Trasloco"
"I agree to the","I agree to the","","","","","Accetto i"
"I can help with loading","I can help with loading","Ich kann beim Beladen helfen.","Je peux vous aider à charger.","يمكنني المساعدة في التحميل","Puedo ayudar con la carga","Posso aiutare con il carico"
"I need helper","I need helper","Ich brauche Hilfe.","J'ai besoin d'aide","أحتاج إلى مساعدة","Necesito ayuda","Ho bisogno di aiuto"
"ID {{value0}}","ID {{value0}}","ID {{value0}}","ID {{value0}}","ID {{value0}}","ID {{value0}}","ID {{value0}}"
"If this email exists, a reset link has been sent.","If this email exists, a reset link has been sent.","Falls diese E-Mail existiert, wurde ein Link zum Zurücksetzen gesendet.","Si cet e-mail existe, un lien de réinitialisation a été envoyé.","إذا كان هذا البريد موجوداً، فقد تم إرسال رابط إعادة التعيين.","Si este correo existe, se ha enviado un enlace de restablecimiento.","Se questa email esiste, è stato inviato un link di reimpostazione."
"If you can see this, routing works.","If you can see this, routing works.","Wenn Sie dies sehen können, funktioniert das Routing.","Si vous pouvez voir ceci, le routage fonctionne.","إذا كان بإمكانك رؤية هذا، فإن التوجيه يعمل.","Si puedes ver esto, el enrutamiento funciona.","Se riesci a vedere questo messaggio, il routing funziona."
"Images","Images","Bilder","Images","الصور","Imágenes","Immagini"
"Immediate payment capture","Immediate payment capture","Sofortige Zahlungserfassung","Capture de paiement immédiate","تحصيل المدفوعات الفورية","Captura de pago inmediata","Addebito immediato del pagamento"
"Immediate pickup","Immediate pickup","Sofortige Abholung","Enlèvement immédiat","استلام فوري","Recogida inmediata","Ritiro immediato"
"Important","Important","Wichtig","Important","مهم","Importante","Importante"
"In Transit","In Transit","Unterwegs","En transit","في مرحلة انتقالية","En tránsito","In transito"
"Invalid delivery tracking parameters.","Invalid delivery tracking parameters.","Ungültige Parameter für die Sendungsverfolgung.","Paramètres de suivi de livraison invalides.","معلمات تتبع التسليم غير صالحة.","Parámetros de seguimiento de entrega no válidos.","Parametri di tracciamento della consegna non validi."
"Invalid delivery tracking route parameters.","Invalid delivery tracking route parameters.","Ungültige Parameter für die Sendungsverfolgung.","Paramètres d'itinéraire de suivi de livraison invalides.","معلمات مسار تتبع التسليم غير صالحة.","Parámetros de ruta de seguimiento de entrega no válidos.","Parametri del percorso di tracciamento della consegna non validi."
"Invalid refresh response","Invalid refresh response","Ungültige Aktualisierungsantwort","Réponse d'actualisation invalide","استجابة تحديث غير صالحة","Respuesta de actualización no válida","Risposta di aggiornamento non valida"
"Invalid schedule","Invalid schedule","Ungültiger Zeitplan","Programme invalide","جدول غير صالح","Horario no válido","Programmazione non valida"
"Invalid server response. Please try again.","Invalid server response. Please try again.","Ungültige Serverantwort. Bitte versuchen Sie es erneut.","Réponse serveur invalide. Veuillez réessayer.","استجابة الخادم غير صالحة. حاول مرة أخرى.","Respuesta del servidor no válida. Inténtalo de nuevo.","Risposta del server non valida. Riprova."
"Invalid tracking parameters.","Invalid tracking parameters.","Ungültige Tracking-Parameter.","Paramètres de suivi invalides.","معلمات التتبع غير صالحة.","Parámetros de seguimiento no válidos.","Parametri di tracciamento non validi."
"Invalid tracking parameters. Please reopen tracking from request status.","Invalid tracking parameters. Please reopen tracking from request status.","Ungültige Tracking-Parameter. Bitte öffnen Sie das Tracking erneut, nachdem Sie den Anfragestatus aufgerufen haben.","Paramètres de suivi invalides. Veuillez relancer le suivi à partir de l'état de la demande.","معلمات التتبع غير صالحة. يرجى إعادة فتح التتبع من حالة الطلب.","Parámetros de seguimiento no válidos. Vuelva a abrir el seguimiento desde el estado de la solicitud.","Parametri di tracciamento non validi. Riapri il tracciamento dallo stato della richiesta."
"Invalid trip id.","Invalid trip id.","Ungültige Reise-ID.","Identifiant de voyage invalide.","معرف الرحلة غير صالح.","ID de viaje no válido.","ID del trasporto non valido."
"Invalid trip locations.","Invalid trip locations.","Ungültige Reiseorte.","Lieux de voyage invalides.","مواقع الرحلات غير صالحة.","Ubicaciones de viaje no válidas.","Posizioni del trasporto non valide."
"Invalid trusted session","Invalid trusted session","Ungültige vertrauenswürdige Sitzung","Session de confiance invalide","جلسة موثوقة غير صالحة","Sesión de confianza no válida","Sessione attendibile non valida"
"Invalid waiting-for-pickup route parameters.","Invalid waiting-for-pickup route parameters.","Ungültige Routenparameter für die Warteliste zur Abholung.","Paramètres d'itinéraire d'attente de prise en charge non valides.","معلمات مسار انتظار الاستلام غير صالحة.","Parámetros de ruta de espera de recogida no válidos.","Parametri del percorso di attesa del ritiro non validi."
"Invoice:","Invoice:","Rechnung:","Facture:","فاتورة:","Factura:","Fattura:"
"Item","Item","Artikel","Article","البند","Artículo","Articolo"
"Item Details","Item Details","Artikeldetails","Détails de l'article","تفاصيل العنصر","Detalles del artículo","Dettagli dell'articolo"
"Item description (optional)","Item description (optional)","Artikelbeschreibung (optional)","Description de l'article (facultatif)","وصف المنتج (اختياري)","Descripción del artículo (opcional)","Descrizione dell'articolo (facoltativa)"
"Item type","Item type","Artikeltyp","Type d'article","نوع العنصر","Tipo de artículo","Tipo di articolo"
"Join Transpo24 to start making requests","Join Transpo24 to start making requests","Treten Sie Transpo24 bei, um Anfragen zu starten","Rejoignez Transpo24 pour commencer vos demandes","انضم إلى ترانسبو24 لبدء إنشاء الطلبات","Únete a Transpo24 para empezar a crear solicitudes","Unisciti a Transpo24 per iniziare a creare richieste"
"Keep trip","Keep trip","Weiter geht's","Continuez le voyage","استمر في الرحلة","Sigue el viaje","Mantieni il trasporto"
"L","L","L","L","ل","L","L"
"Language","Language","Sprache","Langue","اللغة","Idioma","Lingua"
"Language updated","Language updated","Sprache aktualisiert","Langue mise à jour","تم تحديث اللغة","Idioma actualizado","Lingua aggiornata"
"Lat {{value0}}, Lng {{value1}}","Lat {{value0}}, Lng {{value1}}","Lat {{value0}}, Lng {{value1}}","Latitude {{value0}}, Longitude {{value1}}","خط العرض {{value0}}، خط الطول {{value1}}","Latitud {{value0}}, Longitud {{value1}}","Lat {{value0}}, Long {{value1}}"
"Lat: {{latitude}} | Lng: {{longitude}}","Lat: {{latitude}} | Lng: {{longitude}}","Lat: {{latitude}} | Lng: {{longitude}}","Latitude : {{latitude}} | Longitude : {{longitude}}","خط العرض: {{latitude}} | خط الطول: {{longitude}}","Latitud: {{latitude}} | Longitud: {{longitude}}","Lat: {{latitude}} | Long: {{longitude}}"
"Lat: {{value0}}  |  Lng: {{value1}}","Lat: {{value0}}  |  Lng: {{value1}}","Lat: {{value0}} | Lng: {{value1}}","Latitude : {{value0}} | Longitude : {{value1}}","خط العرض: {{value0}} | خط الطول: {{value1}}","Latitud: {{value0}} | Longitud: {{value1}}","Lat: {{value0}} | Long: {{value1}}"
"Latest driver update:","Latest driver update:","Neuestes Treiberupdate:","Dernière mise à jour des pilotes :","آخر تحديث لبرنامج التشغيل:","Última actualización del controlador:","Ultimo aggiornamento dell'autista:"
"Latest driver update: {{latitude}}, {{longitude}} • {{time}}","Latest driver update: {{latitude}}, {{longitude}} • {{time}}","Neuestes Treiberupdate: {{latitude}}, {{longitude}} • {{time}}","Dernière mise à jour des pilotes : {{latitude}}, {{longitude}} • {{time}}","آخر تحديث لبرامج التشغيل: {{latitude}}، {{longitude}} • {{time}}","Última actualización de controladores: {{latitude}}, {{longitude}} • {{time}}","Ultimo aggiornamento dell'autista: {{latitude}}, {{longitude}} • {{time}}"
"Learn more","Learn more","Erfahren Sie mehr","En savoir plus","تعلم المزيد","Más información","Scopri di più"
"Length (cm)","Length (cm)","Länge (cm)","Longueur (cm)","الطول (سم)","Longitud (cm)","Lunghezza (cm)"
"Length cm","Length cm","Länge cm","Longueur cm","الطول بالسنتيمتر","Longitud cm","Lunghezza (cm)"
"Let drivers know if you can assist with carrying or loading items.","Let drivers know if you can assist with carrying or loading items.","Informieren Sie die Fahrer, wenn Sie beim Tragen oder Verladen von Gegenständen helfen können.","Veuillez informer les chauffeurs si vous pouvez les aider à transporter ou à charger des objets.","أخبر السائقين إذا كان بإمكانك المساعدة في حمل أو تحميل الأغراض.","Avise a los conductores si puede ayudarles a transportar o cargar los artículos.","Comunica agli autisti se puoi aiutare a trasportare o caricare gli articoli."
"Light and dark mode components","Light and dark mode components","Komponenten im Hell- und Dunkelmodus","Composants des modes clair et sombre","مكونات الوضع الفاتح والداكن","Componentes del modo claro y oscuro","Componenti per modalità chiara e scura"
"Listening for pickup confirmation...","Listening for pickup confirmation...","Warte auf Abholbestätigung...","En attente de confirmation de prise en charge...","أنتظر تأكيد الاستلام...","Escuchando la confirmación de recogida...","In attesa della conferma del ritiro..."
"Live Map","Live Map","Live-Karte","Carte en direct","خريطة مباشرة","Mapa en vivo","Mappa in tempo reale"
"Live delivery active","Live delivery active","Live-Übertragung aktiv","Livraison en direct active","خدمة التوصيل المباشر متاحة","Entrega en vivo activa","Consegna in tempo reale attiva"
"Live driver tracking becomes available after a driver is assigned and location updates start.","Live driver tracking becomes available after a driver is assigned and location updates start.","Die Live-Fahrerverfolgung ist verfügbar, sobald ein Fahrer zugewiesen wurde und die Standortaktualisierungen beginnen.","Le suivi en temps réel des conducteurs devient disponible une fois qu'un conducteur est affecté et que les mises à jour de localisation commencent.","يصبح تتبع السائق المباشر متاحًا بعد تعيين السائق وبدء تحديثات الموقع.","El seguimiento en tiempo real del conductor estará disponible una vez que se le asigne un conductor y comiencen las actualizaciones de ubicación.","Il tracciamento in tempo reale dell'autista diventa disponibile dopo l'assegnazione di un autista e l'inizio degli aggiornamenti sulla posizione."
"Live map","Live map","Live-Karte","Carte en direct","خريطة مباشرة","Mapa en directo","Mappa in tempo reale"
"Live route","Live route","Live-Route","Itinéraire en direct","مسار مباشر","Ruta en directo","Percorso in tempo reale"
"Live tracking active","Live tracking active","Live-Tracking aktiv","Suivi en direct actif","التتبع المباشر مُفعّل","Seguimiento en directo activo","Tracciamento in tempo reale attivo"
"Loading Workers Count","Loading Workers Count","Anzahl der Ladearbeiter","Chargement du nombre de travailleurs","عدد عمال التحميل","Cargando recuento de trabajadores","Numero di addetti al carico"
"Loading delivery proof...","Loading delivery proof...","Liefernachweis wird geladen...","Chargement de la preuve de livraison...","جارٍ تحميل إثبات التسليم...","Cargando comprobante de entrega...","Caricamento della prova di consegna..."
"Loading help:","Loading help:","Ladehilfe:","Aide au chargement :","جارٍ تحميل المساعدة:","Cargando ayuda:","Assistenza al carico:"
"Loading home...","Loading home...","Startseite wird geladen...","Chargement de l'accueil...","جارٍ تحميل الصفحة الرئيسية...","Cargando inicio...","Caricamento della home..."
"Loading messages…","Loading messages…","Nachrichten werden geladen…","Chargement des messages…","جارٍ تحميل الرسائل…","Cargando mensajes…","Caricamento messaggi…"
"Loading request status…","Loading request status…","Ladevorgangsstatus…","État de la requête en cours de chargement…","جارٍ تحميل حالة الطلب…","Estado de la solicitud de carga…","Caricamento stato della richiesta…"
"Loading requests...","Loading requests...","Anfragen werden geladen...","Chargement des demandes...","جارٍ تحميل الطلبات...","Cargando solicitudes...","Caricamento richieste..."
"Loading services...","Loading services...","Services werden geladen...","Chargement des services...","جارٍ تحميل الخدمات...","Cargando servicios...","Caricamento servizi..."
"Loading trip rating details...","Loading trip rating details...","Details zur Reisebewertung werden geladen...","Chargement des détails de l'évaluation du trajet...","جارٍ تحميل تفاصيل تقييم الرحلة...","Cargando detalles de la calificación del viaje...","Caricamento dei dettagli della valutazione..."
"Loading workers count","Loading workers count","Anzahl der Ladearbeiter","Chargement du nombre de travailleurs","عدد عمال التحميل","Cargando recuento de trabajadores","Numero di addetti al carico"
"Local","Local","Lokal","Locale","محلي","Local","Locale"
"Login","Login","Anmelden","Connexion","تسجيل الدخول","Iniciar sesión","Accedi"
"Logout","Logout","Abmelden","Se déconnecter","تسجيل الخروج","Cerrar sesión","Esci"
"M","M","M","M","م","METRO","M"
"Make:","Make:","Machen:","Faire:","يصنع:","Hacer:","Marca:"
"Manual Motorcycle Selection","Manual Motorcycle Selection","Manuelle Motorradauswahl","Sélection manuelle de moto","اختيار الدراجة النارية يدويًا","Selección manual de motocicletas","Selezione manuale della moto"
"Manual Vehicle Selection","Manual Vehicle Selection","Manuelle Fahrzeugauswahl","Sélection manuelle du véhicule","اختيار المركبة يدويًا","Selección manual de vehículos","Selezione manuale del veicolo"
"Manufacture Year","Manufacture Year","Herstellungsjahr","Année de fabrication","سنة الصنع","Año de fabricación","Anno di produzione"
"Map configuration missing","Map configuration missing","Kartenkonfiguration fehlt","Configuration de la carte manquante","إعدادات الخريطة مفقودة","Falta la configuración del mapa.","Configurazione della mappa mancante"
"Map preview is available on iOS and Android with Google Maps configured.","Map preview is available on iOS and Android with Google Maps configured.","Eine Kartenvorschau ist auf iOS und Android verfügbar, wenn Google Maps konfiguriert ist.","L'aperçu de la carte est disponible sur iOS et Android avec Google Maps configuré.","تتوفر معاينة الخريطة على iOS و Android مع تهيئة Google Maps.","La vista previa del mapa está disponible en iOS y Android con Google Maps configurado.","L'anteprima della mappa è disponibile su iOS e Android quando Google Maps è configurato."
"Map preview is not available on web.","Map preview is not available on web.","Die Kartenvorschau ist im Web nicht verfügbar.","L'aperçu de la carte n'est pas disponible sur le Web.","معاينة الخريطة غير متاحة على الويب.","La vista previa del mapa no está disponible en la web.","L'anteprima della mappa non è disponibile sul Web."
"Mark items that require careful handling.","Mark items that require careful handling.","Kennzeichnen Sie Gegenstände, die eine sorgfältige Handhabung erfordern.","Marquez les objets nécessitant une manipulation soigneuse.","ضع علامة على العناصر التي تتطلب عناية خاصة.","Marque los artículos que requieran un manejo cuidadoso.","Indica gli articoli che richiedono una movimentazione particolarmente attenta."
"Media library permission is needed to select photos.","Media library permission is needed to select photos.","Für die Auswahl von Fotos ist die Berechtigung zur Medienbibliothek erforderlich.","L'autorisation de la médiathèque est nécessaire pour sélectionner les photos.","يلزم الحصول على إذن من مكتبة الوسائط لاختيار الصور.","Se necesita permiso de la biblioteca multimedia para seleccionar fotos.","È necessario il permesso di accesso alla libreria multimediale per selezionare le foto."
"Message:","Message:","Nachricht:","Message:","رسالة:","Mensaje:","Messaggio:"
"Minivan","Minivan","Minivan","Minivan","سيارة ميني فان","Minivan","Monovolume"
"Missing Stripe client secret from the backend.","Missing Stripe client secret from the backend.","Fehlendes Client-Geheimnis Stripe vom Backend.","Clé secrète client Stripe manquante côté serveur.","تم فقدان سر العميل Stripe من الواجهة الخلفية.","Falta la clave secreta del cliente Stripe en el servidor.","Client secret di Stripe mancante nel backend."
"Missing auth token. Please login again.","Missing auth token. Please login again.","Fehlendes Authentifizierungstoken. Bitte melden Sie sich erneut an.","Jeton d'authentification manquant. Veuillez vous reconnecter.","رمز المصادقة مفقود. يرجى تسجيل الدخول مرة أخرى.","Falta el token de autenticación. Inicie sesión de nuevo.","Token di autenticazione mancante. Accedi nuovamente."
"Missing chat room context.","Missing chat room context.","Fehlender Chatraumkontext.","Contexte de la salle de discussion manquant.","سياق غرفة الدردشة مفقود.","Falta el contexto de la sala de chat.","Contesto della chat mancante."
"Missing item type","Missing item type","Fehlender Elementtyp","Type d'élément manquant","نوع العنصر المفقود","Tipo de artículo faltante","Tipo di articolo mancante"
"Missing location","Missing location","Fehlender Standort","Lieu de disparition","الموقع المفقود","Ubicación desaparecida","Posizione mancante"
"Missing payment context. Please go back and choose the driver again.","Missing payment context. Please go back and choose the driver again.","Zahlungskontext fehlt. Bitte gehen Sie zurück und wählen Sie den Fahrer erneut aus.","Contexte de paiement manquant. Veuillez revenir en arrière et sélectionner à nouveau le chauffeur.","معلومات الدفع مفقودة. يرجى العودة واختيار السائق مرة أخرى.","Falta información sobre el pago. Por favor, vuelva atrás y seleccione al conductor de nuevo.","Contesto di pagamento mancante. Torna indietro e seleziona nuovamente l'autista."
"Missing payment context. Please go back and choose the offer again.","Missing payment context. Please go back and choose the offer again.","Zahlungskontext fehlt. Bitte gehen Sie zurück und wählen Sie das Angebot erneut aus.","Contexte de paiement manquant. Veuillez revenir en arrière et sélectionner à nouveau l'offre.","معلومات الدفع مفقودة. يرجى العودة واختيار العرض مرة أخرى.","Falta información sobre el pago. Por favor, vuelva atrás y seleccione la oferta de nuevo.","Contesto di pagamento mancante. Torna indietro e seleziona nuovamente l'offerta."
"Missing payment information.","Missing payment information.","Fehlende Zahlungsinformationen.","Informations de paiement manquantes.","معلومات الدفع مفقودة.","Falta información de pago.","Informazioni di pagamento mancanti."
"Missing request id. Please go back and submit your request again.","Missing request id. Please go back and submit your request again.","Die Anfrage-ID fehlt. Bitte gehen Sie zurück und senden Sie Ihre Anfrage erneut ab.","Identifiant de la requête manquant. Veuillez retourner en arrière et soumettre à nouveau votre requête.","رقم الطلب مفقود. يرجى العودة وإعادة إرسال طلبك.","Falta el ID de la solicitud. Por favor, vuelva atrás y envíe su solicitud de nuevo.","ID della richiesta mancante. Torna indietro e invia nuovamente la richiesta."
"Missing request. Please go back and select pickup location again.","Missing request. Please go back and select pickup location again.","Anfrage fehlt. Bitte gehen Sie zurück und wählen Sie den Abholort erneut aus.","Demande manquante. Veuillez revenir en arrière et sélectionner à nouveau le lieu de retrait.","طلب مفقود. يرجى العودة وتحديد موقع الاستلام مرة أخرى.","Solicitud no solicitada. Por favor, vuelva atrás y seleccione de nuevo el lugar de recogida.","Richiesta mancante. Torna indietro e seleziona nuovamente il luogo di ritiro."
"Missing schedule","Missing schedule","Fehlender Zeitplan","Horaire manquant","جدول مفقود","Falta de horario","Programmazione mancante"
"Missing selected service. Please go back and choose a service again.","Missing selected service. Please go back and choose a service again.","Der ausgewählte Service fehlt. Bitte gehen Sie zurück und wählen Sie erneut einen Service aus.","Service sélectionné introuvable. Veuillez revenir en arrière et choisir un service à nouveau.","الخدمة المختارة غير موجودة. يرجى العودة واختيار خدمة أخرى.","Falta el servicio seleccionado. Por favor, vuelva atrás y seleccione un servicio de nuevo.","Servizio selezionato mancante. Torna indietro e scegli nuovamente un servizio."
